date,productname,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2019-05-19,Strawberries,1.16,2.23,1.7,1.99,2.54,82.32758620689657
2019-05-19,Romaine Lettuce,0.35,1.72,2.0,1.69,1.99,428.57142857142867
2019-05-19,Red Leaf Lettuce,0.32,1.84,1.84,1.69,1.89,467.1875
2019-05-19,Potatoes,1.5,5.32,5.14,3.99,6.22,244.50000000000003
2019-05-19,Oranges,0.41,1.42,1.45,1.34,2.05,281.70731707317077
2019-05-19,Iceberg Lettuce,0.35,1.39,1.46,1.69,1.56,335.71428571428567
2019-05-19,Green Leaf Lettuce,0.31,1.72,1.7,1.69,1.71,449.9999999999999
2019-05-19,Celery,2.83,1.89,2.36,2.52,2.49,-18.197879858657252
2019-05-19,Cauliflower,1.22,3.24,4.35,4.03,2.97,198.9754098360656
2019-05-19,Carrots,0.24,0.95,0.95,0.99,1.22,328.125
2019-05-19,Cantaloupe,1.25,2.34,2.87,2.87,2.94,120.39999999999998
2019-05-19,Broccoli Crowns,0.73,1.49,1.8,1.99,1.99,148.97260273972606
2019-05-19,Avocados,1.23,1.16,1.82,1.75,1.69,30.487804878048784
2019-05-12,Strawberries,0.91,2.67,1.89,2.47,2.66,166.20879120879118
2019-05-12,Romaine Lettuce,0.36,1.74,2.0,1.69,1.99,415.27777777777777
2019-05-12,Red Leaf Lettuce,0.34,1.84,1.75,1.69,1.75,416.91176470588226
2019-05-12,Potatoes,1.5,5.07,5.14,3.99,6.22,240.33333333333337
2019-05-12,Oranges,0.41,1.42,1.55,1.31,1.9,276.82926829268297
2019-05-12,Iceberg Lettuce,0.36,1.44,1.46,1.69,1.49,322.22222222222223
2019-05-12,Green Leaf Lettuce,0.35,1.72,1.7,1.69,1.71,387.1428571428571
2019-05-12,Celery,2.84,1.65,2.36,2.52,2.24,-22.799295774647888
2019-05-12,Cauliflower,2.74,3.24,4.35,3.98,3.48,37.317518248175176
2019-05-12,Carrots,0.3,0.95,0.96,0.99,1.22,243.33333333333337
2019-05-12,Cantaloupe,1.41,2.47,2.91,2.75,3.11,99.29078014184398
2019-05-12,Broccoli Crowns,0.81,1.65,1.72,1.99,2.1,130.2469135802469
2019-05-12,Broccoli Bunches,1.09,1.48,2.11,1.16,1.48,42.88990825688073
2019-05-12,Avocados,1.23,1.12,1.49,1.75,1.69,22.967479674796753
2019-05-05,Strawberries,0.58,2.42,1.89,2.12,2.91,302.5862068965518
2019-05-05,Romaine Lettuce,0.36,1.89,2.0,1.69,1.99,425.69444444444446
2019-05-05,Red Leaf Lettuce,0.34,1.84,1.73,1.69,2.12,442.64705882352933
2019-05-05,Potatoes,1.6,5.07,5.14,3.99,6.22,219.06250000000003
2019-05-05,Oranges,0.41,1.42,1.53,1.17,1.78,259.75609756097566
2019-05-05,Iceberg Lettuce,0.38,1.44,1.46,1.69,1.31,288.15789473684214
2019-05-05,Green Leaf Lettuce,0.34,1.84,1.71,1.69,1.85,421.3235294117647
2019-05-05,Celery,2.46,1.82,2.06,2.52,2.24,-12.195121951219502
2019-05-05,Cauliflower,3.33,3.41,4.36,4.03,3.23,12.837837837837851
2019-05-05,Carrots,0.3,0.99,0.95,0.99,1.22,245.83333333333331
2019-05-05,Broccoli Crowns,0.93,1.65,1.67,1.99,1.61,86.02150537634408
2019-05-05,Avocados,1.01,1.25,1.57,1.69,1.69,53.46534653465345
2019-04-28,Strawberries,0.58,2.79,1.95,2.38,2.96,334.48275862068965
2019-04-28,Romaine Lettuce,0.39,1.89,2.0,1.69,1.86,376.9230769230769
2019-04-28,Red Leaf Lettuce,0.38,1.69,1.75,1.84,1.86,369.7368421052632
2019-04-28,Potatoes,1.6,4.97,5.14,3.99,6.22,217.49999999999997
2019-04-28,Oranges,0.41,1.47,1.47,1.17,1.99,271.95121951219517
2019-04-28,Iceberg Lettuce,0.35,1.44,1.56,1.84,1.56,357.1428571428572
2019-04-28,Green Leaf Lettuce,0.35,1.84,1.7,1.84,2.07,432.1428571428571
2019-04-28,Celery,2.63,1.82,2.36,2.59,2.24,-14.353612167300378
2019-04-28,Cauliflower,3.23,3.41,3.43,3.88,3.35,8.900928792569651
2019-04-28,Carrots,0.3,0.99,0.96,0.99,1.12,238.33333333333337
2019-04-28,Broccoli Crowns,1.04,1.82,1.85,1.99,2.24,89.90384615384615
2019-04-28,Broccoli Bunches,1.27,1.61,2.04,1.56,1.63,34.645669291338585
2019-04-28,Avocados,0.94,1.09,1.57,1.53,1.7,56.648936170212785
2019-04-21,Strawberries,0.69,2.92,2.04,2.38,3.16,280.4347826086957
2019-04-21,Romaine Lettuce,0.51,2.09,2.0,1.77,1.86,278.4313725490196
2019-04-21,Red Leaf Lettuce,0.45,1.84,1.98,1.84,1.86,317.7777777777778
2019-04-21,Potatoes,1.6,4.97,4.31,3.99,6.22,204.53124999999997
2019-04-21,Oranges,0.41,1.44,1.54,0.99,1.99,263.4146341463415
2019-04-21,Iceberg Lettuce,0.42,1.29,1.56,1.84,1.49,267.85714285714295
2019-04-21,Green Leaf Lettuce,0.43,1.84,1.77,1.84,2.07,337.20930232558135
2019-04-21,Celery,2.98,1.82,2.54,2.52,2.24,-23.48993288590603
2019-04-21,Cauliflower,1.96,2.91,3.23,4.08,3.35,73.08673469387756
2019-04-21,Carrots,0.3,0.99,0.95,0.99,1.12,237.5
2019-04-21,Broccoli Crowns,0.75,1.82,1.67,2.14,1.86,149.6666666666667
2019-04-21,Broccoli Bunches,0.85,1.64,2.04,1.49,1.63,100.0
2019-04-21,Avocados,1.03,1.21,1.75,1.75,1.85,59.22330097087381
2019-04-14,Strawberries,0.9,3.04,2.31,2.5,3.41,212.77777777777777
2019-04-14,Romaine Lettuce,0.56,1.99,2.12,1.77,2.02,252.6785714285714
2019-04-14,Red Leaf Lettuce,0.44,2.32,2.03,1.92,1.9,364.20454545454544
2019-04-14,Potatoes,1.6,5.07,4.97,3.99,6.22,216.40625
2019-04-14,Oranges,0.41,1.32,1.34,1.31,2.1,270.12195121951225
2019-04-14,Iceberg Lettuce,0.57,1.49,1.61,1.84,1.56,185.08771929824564
2019-04-14,Green Leaf Lettuce,0.43,2.59,1.82,1.92,1.8,372.67441860465124
2019-04-14,Celery,2.98,1.82,2.36,2.52,2.24,-25.0
2019-04-14,Cauliflower,1.18,3.44,2.7,4.18,3.1,184.3220338983051
2019-04-14,Carrots,0.29,0.99,0.95,0.99,1.02,240.51724137931038
2019-04-14,Broccoli Crowns,0.46,2.24,1.8,2.14,1.99,344.02173913043475
2019-04-14,Broccoli Bunches,0.57,1.94,2.24,1.49,1.63,220.17543859649126
2019-04-14,Avocados,1.13,1.29,1.87,1.5,1.85,44.02654867256639
2019-04-14,Asparagus,2.43,2.48,1.88,2.49,1.61,-12.962962962962976
2019-04-07,Strawberries,1.08,3.04,2.94,2.62,3.74,185.64814814814818
2019-04-07,Romaine Lettuce,0.46,1.99,2.28,1.69,1.96,330.4347826086956
2019-04-07,Red Leaf Lettuce,0.43,2.32,1.86,1.99,2.0,375.0
2019-04-07,Potatoes,1.6,4.07,4.97,3.99,6.22,200.78125
2019-04-07,Oranges,0.41,1.57,1.49,0.99,1.7,250.609756097561
2019-04-07,Iceberg Lettuce,0.5,1.29,1.61,1.84,1.61,217.50000000000003
2019-04-07,Green Leaf Lettuce,0.39,2.32,1.93,1.99,1.81,416.02564102564105
2019-04-07,Celery,2.9,1.52,2.34,2.52,2.83,-20.603448275862057
2019-04-07,Cauliflower,1.06,3.41,3.36,4.18,3.36,237.49999999999994
2019-04-07,Carrots,0.3,0.99,0.96,0.99,1.09,235.83333333333337
2019-04-07,Broccoli Crowns,0.49,1.82,1.97,2.14,2.09,309.1836734693877
2019-04-07,Avocados,1.18,1.16,1.7,1.02,1.57,15.466101694915269
2019-04-07,Asparagus,2.43,2.65,2.73,2.99,2.74,14.300411522633748
2019-03-31,Strawberries,1.81,2.79,3.07,2.87,3.24,65.33149171270718
2019-03-31,Romaine Lettuce,0.39,2.14,2.12,1.69,1.96,407.05128205128204
2019-03-31,Red Leaf Lettuce,0.34,1.82,2.0,1.99,2.06,478.6764705882353
2019-03-31,Potatoes,1.6,4.97,4.97,3.99,6.22,214.84374999999994
2019-03-31,Oranges,0.42,1.58,1.58,1.34,1.7,269.0476190476191
2019-03-31,Iceberg Lettuce,0.51,1.49,1.56,1.84,1.99,237.2549019607843
2019-03-31,Green Leaf Lettuce,0.34,2.59,1.8,1.99,1.95,512.5
2019-03-31,Celery,2.73,1.84,2.39,2.47,2.37,-16.941391941391938
2019-03-31,Cauliflower,0.99,3.41,3.36,3.93,3.15,249.74747474747474
2019-03-31,Carrots,0.3,0.99,0.96,0.99,1.12,238.33333333333337
2019-03-31,Broccoli Crowns,0.65,1.82,1.82,2.07,1.89,192.3076923076923
2019-03-31,Broccoli Bunches,0.73,1.94,2.07,1.49,1.89,153.08219178082192
2019-03-31,Avocados,1.19,0.95,0.96,1.25,1.49,-2.310924369747891
2019-03-31,Asparagus,2.34,2.45,2.13,3.49,2.74,15.491452991453002
2019-03-24,Strawberries,1.81,2.82,3.06,3.12,3.48,72.37569060773481
2019-03-24,Romaine Lettuce,0.34,1.99,2.12,1.69,1.9734338113973857,471.57601554392545
2019-03-24,Red Leaf Lettuce,0.35,1.79,1.85,1.99,2.09,451.42857142857144
2019-03-24,Potatoes,1.7,3.66,4.97,3.99,5.44,165.58823529411762
2019-03-24,Oranges,0.34,1.58,1.49,1.34,1.75,352.94117647058823
2019-03-24,Iceberg Lettuce,0.56,1.49,1.61,1.79,2.24,218.30357142857144
2019-03-24,Green Leaf Lettuce,0.34,2.29,1.93,1.99,1.92,497.79411764705867
2019-03-24,Celery,2.73,1.75,2.39,2.47,2.24,-18.956043956043946
2019-03-24,Cauliflower,0.99,3.41,3.68,4.08,3.61,273.2323232323232
2019-03-24,Carrots,0.3,0.99,0.95,0.99,1.12,237.5
2019-03-24,Broccoli Crowns,0.89,1.85,1.97,2.14,1.96,122.47191011235957
2019-03-24,Avocados,1.06,0.92,1.38,1.31,1.37,17.452830188679247
2019-03-17,Strawberries,1.88,2.79,3.07,2.32,3.49,55.18617021276597
2019-03-17,Romaine Lettuce,0.43,2.09,2.12,1.69,2.5,388.3720930232559
2019-03-17,Red Leaf Lettuce,0.6,2.59,1.73,1.99,2.06,248.75000000000006
2019-03-17,Potatoes,1.7,4.97,4.97,3.99,5.97,192.6470588235294
2019-03-17,Oranges,0.42,1.45,1.53,0.99,1.62,232.73809523809524
2019-03-17,Iceberg Lettuce,0.92,1.51,1.56,1.77,2.24,92.39130434782608
2019-03-17,Green Leaf Lettuce,0.38,2.59,1.78,1.99,1.98,448.6842105263157
2019-03-17,Celery,2.7,1.57,2.01,2.24,2.24,-25.370370370370367
2019-03-17,Cauliflower,1.98,3.27,2.81,3.93,3.61,71.96969696969697
2019-03-17,Carrots,0.3,0.99,0.96,0.99,1.12,238.33333333333337
2019-03-17,Broccoli Crowns,0.85,2.29,2.27,2.07,1.96,152.6470588235294
2019-03-17,Broccoli Bunches,0.97,1.94,2.15,1.49,1.89,92.5257731958763
2019-03-17,Avocados,0.64,0.94,1.31,1.24,1.31,87.50000000000003
2019-03-10,Strawberries,1.88,2.66,2.99,2.75,2.94,50.79787234042554
2019-03-10,Romaine Lettuce,0.49,2.49,2.28,1.52,2.36,341.3265306122448
2019-03-10,Red Leaf Lettuce,0.48,2.59,1.88,1.74,2.09,332.2916666666667
2019-03-10,Potatoes,1.7,4.72,4.47,3.99,6.22,185.29411764705884
2019-03-10,Oranges,0.42,1.58,1.68,1.34,1.62,270.23809523809524
2019-03-10,Iceberg Lettuce,0.75,1.31,1.56,1.67,2.36,130.00000000000003
2019-03-10,Green Leaf Lettuce,0.48,2.32,1.93,1.74,1.98,315.1041666666667
2019-03-10,Celery,2.22,1.75,1.94,2.14,2.49,-6.3063063063063085
2019-03-10,Cauliflower,1.5,3.27,3.61,4.08,3.48,140.66666666666669
2019-03-10,Carrots,0.3,1.25,0.95,0.99,1.05,253.33333333333337
2019-03-10,Broccoli Crowns,0.69,2.29,1.8,2.19,1.87,195.28985507246372
2019-03-10,Avocados,0.55,0.92,1.13,1.24,1.37,111.81818181818181
2019-03-03,Strawberries,1.88,2.46,2.31,2.99,3.06,43.88297872340428
2019-03-03,Romaine Lettuce,0.7,1.89,2.2,1.52,2.17,177.85714285714283
2019-03-03,Red Leaf Lettuce,0.64,2.32,1.85,1.74,1.95,207.03125
2019-03-03,Potatoes,1.7,3.97,4.47,3.99,5.97,170.58823529411762
2019-03-03,Oranges,0.42,1.58,1.72,1.52,1.67,286.30952380952385
2019-03-03,Iceberg Lettuce,1.03,1.46,1.56,1.52,2.24,64.5631067961165
2019-03-03,Green Leaf Lettuce,0.65,2.32,1.78,1.74,1.95,199.6153846153846
2019-03-03,Celery,1.78,1.52,2.11,1.99,2.24,10.393258426966302
2019-03-03,Cauliflower,2.45,3.27,3.71,4.28,3.48,50.40816326530613
2019-03-03,Carrots,0.3,1.14,0.96,0.99,1.12,250.83333333333334
2019-03-03,Broccoli Crowns,0.96,1.85,1.97,2.29,1.87,107.8125
2019-03-03,Broccoli Bunches,1.07,1.94,2.15,1.19,1.89,67.52336448598129
2019-03-03,Avocados,0.52,0.82,1.31,1.37,1.31,131.25
2019-02-24,Strawberries,1.75,2.66,1.88,2.99,2.99,50.28571428571429
2019-02-24,Romaine Lettuce,0.79,1.89,2.04,1.52,2.17,141.13924050632906
2019-02-24,Red Leaf Lettuce,0.82,2.32,1.97,1.74,1.95,143.2926829268293
2019-02-24,Potatoes,1.7,4.72,4.47,3.99,5.47,174.26470588235296
2019-02-24,Oranges,0.42,1.54,1.53,1.34,1.74,266.0714285714286
2019-02-24,Iceberg Lettuce,1.34,1.51,1.44,1.52,1.76,16.23134328358209
2019-02-24,Green Leaf Lettuce,0.82,2.32,1.93,1.74,1.87,139.63414634146343
2019-02-24,Celery,1.7,1.72,2.09,1.99,2.24,18.235294117647037
2019-02-24,Cauliflower,3.38,2.87,3.71,3.78,3.48,2.366863905325456
2019-02-24,Carrots,0.3,0.92,0.85,0.99,1.05,217.49999999999997
2019-02-24,Broccoli Crowns,1.08,1.92,1.97,1.99,1.96,81.48148148148147
2019-02-24,Broccoli Bunches,1.17,1.78,1.7,1.49,1.89,46.58119658119657
2019-02-24,Avocados,0.52,0.92,1.31,1.31,1.34,134.61538461538458
2019-02-17,Strawberries,1.63,3.12,3.65,4.12,3.48,120.39877300613502
2019-02-17,Romaine Lettuce,0.6,1.89,2.2,1.52,2.02,217.91666666666663
2019-02-17,Red Leaf Lettuce,0.68,2.32,1.98,1.74,2.0,195.58823529411757
2019-02-17,Potatoes,1.7,4.72,4.47,3.99,5.47,174.26470588235296
2019-02-17,Oranges,0.41,1.54,1.19,1.34,1.74,254.2682926829269
2019-02-17,Iceberg Lettuce,0.88,1.51,1.31,1.52,1.51,66.19318181818181
2019-02-17,Green Leaf Lettuce,0.65,2.32,1.93,1.74,1.98,206.53846153846155
2019-02-17,Celery,1.71,1.72,1.82,1.99,2.19,12.865497076023402
2019-02-17,Cauliflower,3.04,2.87,3.09,3.78,2.86,3.6184210526315708
2019-02-17,Carrots,0.3,0.92,0.92,0.99,1.05,223.33333333333334
2019-02-17,Broccoli Crowns,0.85,1.92,1.97,1.99,1.96,130.58823529411762
2019-02-17,Broccoli Bunches,0.98,1.78,2.15,1.49,1.89,86.47959183673468
2019-02-17,Avocados,0.52,0.96,1.36,0.83,1.34,115.86538461538463
2019-02-10,Oranges,0.41,1.72,1.64,0.99,1.97,285.3658536585366
2019-02-10,Strawberries,2.25,2.99,3.36,3.96,3.36,51.88888888888887
2019-02-10,Romaine Lettuce,0.4,1.89,2.2,1.52,1.86,366.87499999999994
2019-02-10,Red Leaf Lettuce,0.46,2.32,1.98,1.74,1.97,335.3260869565217
2019-02-10,Potatoes,1.7,4.72,4.47,3.99,5.47,174.26470588235296
2019-02-10,Iceberg Lettuce,0.41,1.51,1.56,1.52,1.81,290.24390243902445
2019-02-10,Green Leaf Lettuce,0.42,2.32,1.9,1.74,1.91,368.452380952381
2019-02-10,Celery,1.72,1.62,1.79,1.99,2.07,8.575581395348841
2019-02-10,Cauliflower,2.27,2.62,3.46,3.78,2.99,41.51982378854624
2019-02-10,Carrots,0.3,1.11,0.92,0.99,1.05,239.1666666666667
2019-02-10,Broccoli Crowns,0.63,2.22,1.8,1.99,1.59,201.58730158730162
2019-02-10,Broccoli Bunches,1.14,1.78,2.49,1.49,1.89,67.76315789473686
2019-02-10,Avocados,0.52,0.89,0.99,1.25,1.34,114.90384615384612
2019-02-03,Romaine Lettuce,0.35,1.99,2.2,1.59,1.86,445.71428571428584
2019-02-03,Red Leaf Lettuce,0.44,2.32,1.98,1.74,2.0,356.81818181818176
2019-02-03,Potatoes,1.7,4.72,4.47,3.99,5.47,174.26470588235296
2019-02-03,Oranges,0.41,1.55,1.59,0.99,1.65,252.4390243902439
2019-02-03,Iceberg Lettuce,0.4,1.51,1.31,1.42,2.06,293.75000000000006
2019-02-03,Green Leaf Lettuce,0.38,2.32,1.9,1.74,1.95,420.3947368421053
2019-02-03,Celery,1.64,1.62,1.89,1.99,1.94,13.414634146341452
2019-02-03,Cauliflower,1.39,2.71,3.46,3.78,3.11,134.89208633093526
2019-02-03,Carrots,0.3,0.92,0.92,0.99,1.05,223.33333333333334
2019-02-03,Broccoli Crowns,0.56,2.39,2.02,1.99,1.59,256.69642857142856
2019-02-03,Broccoli Bunches,0.75,1.77,1.88,1.49,1.89,134.33333333333331
2019-02-03,Avocados,0.47,1.06,1.24,1.31,1.42,167.55319148936167
2019-01-27,Strawberries,2.63,3.96,3.44,3.49,5.11,52.091254752851725
2019-01-27,Romaine Lettuce,0.32,1.99,2.25,1.67,1.98,516.40625
2019-01-27,Red Leaf Lettuce,0.42,2.32,1.83,1.74,2.01,370.23809523809524
2019-01-27,Potatoes,1.7,4.87,4.81,3.99,4.94,173.6764705882353
2019-01-27,Oranges,0.41,1.46,1.45,0.99,1.87,251.829268292683
2019-01-27,Iceberg Lettuce,0.37,1.19,1.61,1.42,1.81,307.4324324324324
2019-01-27,Green Leaf Lettuce,0.41,2.32,1.75,1.74,1.92,371.3414634146342
2019-01-27,Celery,1.39,1.62,2.01,1.99,1.94,35.97122302158275
2019-01-27,Cauliflower,0.75,2.77,3.86,3.78,3.24,355.0
2019-01-27,Carrots,0.3,0.92,0.92,0.99,1.15,231.66666666666669
2019-01-27,Broccoli Crowns,0.38,2.22,2.3,1.99,1.96,457.2368421052631
2019-01-27,Avocados,0.46,0.89,1.75,1.31,1.24,182.06521739130434
2019-01-20,Strawberries,2.63,2.97,3.31,2.95,5.11,36.31178707224334
2019-01-20,Romaine Lettuce,0.33,1.89,2.25,1.67,1.98,490.15151515151507
2019-01-20,Red Leaf Lettuce,0.51,2.32,1.83,1.74,2.01,287.2549019607843
2019-01-20,Potatoes,1.7,4.87,4.81,3.99,4.94,173.6764705882353
2019-01-20,Oranges,0.45,1.46,1.18,0.99,1.87,205.55555555555554
2019-01-20,Iceberg Lettuce,0.41,1.16,1.61,1.42,1.94,273.780487804878
2019-01-20,Green Leaf Lettuce,0.51,2.32,1.75,1.74,1.92,278.921568627451
2019-01-20,Celery,1.42,1.62,2.01,1.99,2.07,35.387323943661976
2019-01-20,Cauliflower,0.96,2.77,3.86,3.78,3.24,255.46875000000006
2019-01-20,Carrots,0.32,0.89,0.92,0.99,1.15,208.59374999999994
2019-01-20,Broccoli Crowns,0.5,2.22,2.3,1.99,1.96,323.49999999999994
2019-01-20,Avocados,0.51,0.89,1.68,1.31,1.24,150.98039215686273
2019-01-13,Green Leaf Lettuce,0.66,2.32,1.85,1.74,1.95,197.72727272727272
2019-01-13,Strawberries,2.5,3.58,3.74,4.99,5.11,74.20000000000002
2019-01-13,Romaine Lettuce,0.35,1.99,2.22,1.56,1.99,454.2857142857143
2019-01-13,Red Leaf Lettuce,0.66,2.32,1.98,1.74,1.9734338113973857,203.5391595226282
2019-01-13,Potatoes,1.7,4.72,4.81,3.99,6.47,193.9705882352941
2019-01-13,Oranges,0.45,1.53,1.58,1.17,2.1,254.44444444444449
2019-01-13,Iceberg Lettuce,0.78,1.36,1.66,1.54,2.06,112.17948717948723
2019-01-13,Celery,1.31,1.45,2.01,1.99,1.82,38.74045801526718
2019-01-13,Cauliflower,2.11,2.92,3.86,3.73,3.24,62.91469194312798
2019-01-13,Carrots,0.29,0.85,0.92,0.99,1.05,228.44827586206895
2019-01-13,Broccoli Crowns,1.07,2.22,2.17,1.99,2.09,97.89719626168225
2019-01-13,Broccoli Bunches,1.13,1.61,2.31,1.49,1.99,63.71681415929207
2019-01-13,Avocados,0.56,0.97,1.23,1.25,1.24,109.375
2019-01-06,Strawberries,2.63,3.96,4.21,4.24,5.66,71.76806083650192
2019-01-06,Romaine Lettuce,0.36,2.31,2.22,1.56,1.99,461.11111111111114
2019-01-06,Red Leaf Lettuce,0.66,2.59,1.91,1.74,2.0,212.12121212121212
2019-01-06,Potatoes,1.7,4.97,4.81,3.99,6.47,197.64705882352936
2019-01-06,Oranges,0.49,1.53,1.64,0.99,1.87,207.65306122448982
2019-01-06,Iceberg Lettuce,0.74,1.21,1.86,1.67,2.06,129.72972972972974
2019-01-06,Green Leaf Lettuce,0.64,2.59,1.84,1.74,1.95,217.18749999999994
2019-01-06,Celery,0.98,1.44,1.89,1.99,1.82,82.14285714285717
2019-01-06,Cauliflower,2.1,2.77,3.31,3.73,2.74,49.404761904761905
2019-01-06,Carrots,0.29,0.92,0.99,0.99,1.05,240.51724137931038
2019-01-06,Broccoli Crowns,1.01,2.84,2.03,1.99,1.79,114.10891089108905
2019-01-06,Broccoli Bunches,1.22,1.78,1.79,1.49,1.89,42.41803278688525
2019-01-06,Avocados,0.56,0.91,1.26,0.85,1.18,87.5
2018-12-30,Strawberries,2.5,3.71,4.59,4.49,5.71,85.00000000000001
2018-12-30,Romaine Lettuce,0.34,2.22,2.22,1.67,1.99,495.58823529411757
2018-12-30,Red Leaf Lettuce,0.64,2.22,2.0,1.74,2.0,210.93750000000006
2018-12-30,Potatoes,1.7,3.98,4.81,3.99,6.47,183.08823529411765
2018-12-30,Oranges,0.49,1.5,1.49,1.34,2.1,228.06122448979588
2018-12-30,Iceberg Lettuce,0.47,1.29,1.54,1.67,1.9734338113973857,244.33158571262692
2018-12-30,Green Leaf Lettuce,0.61,2.22,1.84,1.74,1.95,217.62295081967218
2018-12-30,Flame Grapes,1.0,2.66,2.46,2.87,2.71,167.49999999999997
2018-12-30,Celery,0.78,1.31,2.14,1.99,1.94,136.53846153846155
2018-12-30,Cauliflower,1.0,3.11,2.61,3.43,2.99,203.5
2018-12-30,Carrots,0.29,0.92,0.92,0.99,1.05,234.48275862068968
2018-12-30,Broccoli Crowns,0.76,2.21,2.68,1.99,1.71,182.5657894736842
2018-12-30,Avocados,0.48,0.97,1.48,1.25,1.32,161.45833333333334
2018-12-23,Thompson Grapes,1.13,2.69,2.46,2.49,2.59,126.32743362831862
2018-12-23,Strawberries,2.88,3.86,4.46,4.99,4.09,51.04166666666665
2018-12-23,Romaine Lettuce,0.35,1.89,2.09,1.67,2.19,460.00000000000006
2018-12-23,Red Leaf Lettuce,0.65,2.59,2.0,1.67,2.45,235.0
2018-12-23,Potatoes,1.7,6.11,4.81,3.99,4.94,191.91176470588238
2018-12-23,Oranges,0.51,1.58,1.36,1.42,1.89,206.37254901960782
2018-12-23,Iceberg Lettuce,0.39,1.29,1.69,1.67,2.36,349.35897435897436
2018-12-23,Green Leaf Lettuce,0.64,2.59,1.92,1.67,2.36,233.59374999999994
2018-12-23,Flame Grapes,1.0,2.59,2.34,2.37,2.59,147.25
2018-12-23,Celery,0.83,1.31,1.74,1.99,1.82,106.62650602409643
2018-12-23,Cauliflower,0.61,2.91,3.31,3.68,2.48,407.37704918032796
2018-12-23,Carrots,0.29,0.92,0.85,0.99,1.24,244.82758620689657
2018-12-23,Broccoli Crowns,0.69,2.76,2.66,2.24,1.89,246.01449275362324
2018-12-23,Broccoli Bunches,0.76,1.94,2.23,1.49,1.89,148.35526315789474
2018-12-23,Avocados,0.46,0.92,1.02,1.0,1.51,141.84782608695653
2018-12-16,Thompson Grapes,1.1,2.42,2.34,2.49,2.24,115.68181818181817
2018-12-16,Strawberries,3.06,3.16,4.28,4.99,4.95,41.993464052287564
2018-12-16,Romaine Lettuce,0.35,1.8,2.22,1.67,2.82,507.8571428571429
2018-12-16,Red Leaf Lettuce,0.9,2.15,2.0,1.74,2.45,131.66666666666663
2018-12-16,Potatoes,1.7,5.11,4.97,3.99,6.47,202.05882352941177
2018-12-16,Oranges,0.51,1.5,1.54,1.42,1.67,200.49019607843138
2018-12-16,Iceberg Lettuce,0.45,1.19,2.11,1.92,2.56,332.2222222222222
2018-12-16,Green Leaf Lettuce,0.9,2.15,1.92,1.74,2.36,126.94444444444444
2018-12-16,Flame Grapes,1.0,2.49,2.34,2.12,2.24,129.75000000000003
2018-12-16,Celery,0.93,1.51,1.58,1.99,1.44,75.26881720430106
2018-12-16,Cauliflower,0.64,2.51,3.56,3.68,3.11,402.34375
2018-12-16,Carrots,0.29,0.92,0.95,0.99,1.05,237.06896551724142
2018-12-16,Broccoli Crowns,0.71,3.63,2.31,2.24,1.71,248.23943661971833
2018-12-16,Broccoli Bunches,0.82,1.88,2.36,1.49,1.76,128.35365853658539
2018-12-16,Avocados,0.47,1.04,1.39,1.31,1.49,178.19148936170214
2018-12-09,Thompson Grapes,1.1,2.42,1.96,1.23,1.96,72.04545454545452
2018-12-09,Strawberries,3.25,3.66,4.21,3.99,4.95,29.3076923076923
2018-12-09,Romaine Lettuce,0.63,2.05,2.14,1.67,2.89,247.22222222222223
2018-12-09,Red Leaf Lettuce,2.03,2.09,1.8,1.74,2.42,-0.8620689655172264
2018-12-09,Potatoes,1.7,5.11,4.81,3.99,7.99,222.05882352941174
2018-12-09,Oranges,0.52,1.5,1.37,1.42,1.82,193.75
2018-12-09,Iceberg Lettuce,1.84,1.19,2.01,1.99,2.56,5.298913043478248
2018-12-09,Green Leaf Lettuce,2.03,2.09,1.72,1.74,2.33,-2.9556650246305383
2018-12-09,Flame Grapes,0.89,2.49,1.96,0.98,1.96,107.58426966292132
2018-12-09,Celery,1.17,1.59,1.54,1.99,1.94,50.85470085470087
2018-12-09,Cauliflower,1.19,2.74,3.56,3.68,3.74,188.2352941176471
2018-12-09,Carrots,0.29,0.92,0.92,0.99,1.05,234.48275862068968
2018-12-09,Broccoli Crowns,1.2,3.2,2.22,1.92,2.09,96.45833333333333
2018-12-09,Broccoli Bunches,1.36,1.71,1.91,1.49,1.76,26.286764705882337
2018-12-09,Avocados,0.48,1.01,1.44,1.31,1.69,183.85416666666669
2018-12-02,Thompson Grapes,0.85,2.31,1.64,2.12,1.9734338113973857,136.5715826881584
2018-12-02,Strawberries,2.88,3.71,3.99,3.99,5.16,46.267361111111136
2018-12-02,Romaine Lettuce,1.01,1.75,2.14,1.34,2.49,91.0891089108911
2018-12-02,Red Leaf Lettuce,2.04,2.39,1.8,1.92,1.97,-0.9803921568627416
2018-12-02,Potatoes,1.7,4.81,4.81,3.99,6.47,195.29411764705878
2018-12-02,Oranges,0.55,1.63,1.37,0.99,1.9,167.72727272727272
2018-12-02,Iceberg Lettuce,2.16,1.24,1.51,1.74,2.24,-22.106481481481477
2018-12-02,Green Leaf Lettuce,2.04,2.49,1.72,1.92,1.91,-1.4705882352941346
2018-12-02,Flame Grapes,0.89,2.34,1.64,2.37,1.91,132.02247191011236
2018-12-02,Celery,1.1,1.35,2.01,1.99,1.71,60.454545454545425
2018-12-02,Cauliflower,2.16,3.64,3.38,3.83,3.74,68.86574074074072
